00440001,BenQ Mobile GmbH & Co. OHG,Prototype  ,,,
33004286,MONDIAL ,ML 808  ,,,
33004300,Funkanlagen Leipoldt OHG,MONDIAL FALCOM A1  ,,,
33004349,Funkanlagen Leipoldt OHG,MONDIAL FALCOM A1  ,,,
33004400,Wavecom,WMO1-G900  ,,,
33004449,Wavecom,WMO1-G900  ,,,
33004500,Alcatel Radiotelephone ,ONE TOUCH CLUB  ,,,
33004553,Alcatel Radiotelephone,One Touch  Club  ,,,
33004567,Alcatel Radiotelephone,One Touch  Club  ,,,
33004600,Alcatel Radiotelephone ,ONE TOUCH EASY  ,,,
33004653,Alcatel Radiotelephone ,ONE TOUCH EASY  ,,,
33004667,Alcatel Radiotelephone ,ONE TOUCH EASY  ,,,
33004800,Alcatel Radiotelephone ,ONE TOUCH COM  ,,,
33004802,Alcatel Radiotelephone ,ONE TOUCH COM  ,,,
33004900,Alcatel Radiotelephone ,ONE TOUCH COM  ,,,
33004953,Alcatel Radiotelephone ,ONE TOUCH COM  ,,,
33005000,Sharp Telecommunications Europe,MC-G1  ,,,
33005053,Sharp Telecommunications Europe,MC-G1  ,,,
33005100,Sagem ,RC 715  ,,,
33005135,Sagem ,RC 715  ,,,
33005182,Sagem ,RC 715  ,,,
33005200,Sagem ,RC 730  ,,,
33005282,Sagem ,RC 730  ,,,
33005300,Sagem ,RC 712  ,,,
33005335,Sagem ,RC 712  ,,,
33005382,Sagem ,RC 712  ,,,
33005400,Sagem ,RC 725  ,,,
33005482,Sagem ,RC 725  ,,,
33005500,Sagem ,RC 720  ,,,
33005582,Sagem ,RC 720  ,,,
33005600,Sagem ,RC 710  ,,,
33005682,Sagem ,RC 710  ,,,
33005700,Sagem ,RC 750 R/D/S  ,,,
33005782,Sagem ,RC 750 R/D/S  ,,,
33006000,Alcatel Radiotelephone ,ONE TOUCH EASY  ,,,
33006053,Alcatel Radiotelephone,One Touch  Easy  ,,,
33006067,Alcatel Radiotelephone,One Touch  Easy  ,,,
33006100,Alcatel Radiotelephone ,ONE TOUCH EASY  ,,,
