TAC,Manufacturer,Model,HW-Type,OS,Year
35009433,Sony,CMD-Z5,,,
35009434,Sony,CMD-Z5,,,
35009440,Sony,CMD-Z5,,,
35009441,Sony,CMD-Z5,,,
35009442,Sony,CMD-Z5,,,
35009443,Sony,CMD-Z5,,,
35009500,Sony,CMD-Z18,,,
35009600,Sendo,DuliD800 A800 D100 H9238 SND880    ,,,
35009601,Spring,TradingLtd Duli, D800, A800, D100    ,,,
35009700,Samsung,SGH-N100,,,
35009708,Samsung,ElectronicsSGH-N100    ,,,
35009726,Samsung,ElectronicsSGH-N100    ,,,
35009728,Samsung,Electronics SGH-N100     ,,,
35009789,Samsung,ElectronicsSGH-N100    ,,,
35009790,Samsung,ElectronicsSGH-N100    ,,,
35009791,Samsung,ElectronicsSGH-N100    ,,,
35009792,Samsung,ElectronicsSGH-N100    ,,,
35009800,Nec,DB3300WMP5J1R1-1C    ,,,
35009900,Samsung,SGH-800C+,,,
35010000,Sony,CMD-MZ5,,,
35010030,Sony,CMD-Z5,,,
35010031,Sony,CMD-Z5,,,
35010032,Sony,CMD-Z5,,,
35010033,Sony,CMD-Z5,,,
35010034,Sony,CMD-Z5,,,
35010040,Sony,CMD-Z5,,,
35010041,Sony,CMD-Z5,,,
35010042,Sony,CMD-Z5,,,
35010043,Sony,CMD-Z5,,,
35010100,Nokia,3310NHM-5NX Germany Eplus (DCT-3)   ,,,
35010110,Nokia,NHM-5(NX)/  3310    ,,,
35010114,Nokia,NHM-5(NX) /  3310   ,,,
35010120,Nokia,NHM-5(NX)/  3310    ,,,
35010130,Nokia,NHM-5(NX)/  3310    ,,,
35010140,Nokia,NHM-5(NX)/  3310    ,,,
35010155,Nokia,NHM-5(NX)/  3310    ,,,
35010160,Nokia,NHM-5(NX)/  3310    ,,,
35010170,Nokia,NHM-5(NX)/  3310    ,,,
35010180,Nokia,NHM-5(NX)/  3310    ,,,
35010188,Nokia,NHM-5(NX)/  3310    ,,,
35010191,Nokia,NHM-5(NX)/  3310    ,,,
35010192,Nokia,NHM-5(NX)/  3310    ,,,
35010193,Nokia,NHM-5(NX)/  3310    ,,,
35010194,Nokia,NHM-5(NX)/  3310    ,,,
35010200,Nokia,3310NHM-5NX (DCT-3)     ,,,
35010210,Nokia,NHM-5(NX)/  3310    ,,,
35010220,Nokia,NHM-5(NX)/  3310    ,,,
35010230,Nokia,NHM-5(NX)/  3310    ,,,
35010240,Nokia,NHM-5(NX)/  3310    ,,,
35010255,Nokia,NHM-5(NX)/  3310    ,,,
35010260,Nokia,NHM-5(NX)/  3310    ,,,
35010270,Nokia,NHM-5(NX)/  3310    ,,,
35010280,Nokia,NHM-5(NX)/  3310    ,,,
35010288,Nokia,NHM-5(NX)/  3310    ,,,
35010291,Nokia,NHM-5(NX)/  3310    ,,,
35010292,Nokia,NHM-5(NX)/  3310    ,,,
35010293,Nokia,NHM-5(NX)/  3310    ,,,
35010294,Nokia,NHM-5(NX)/  3310    ,,,
35010300,Nokia,3310NHM-5NX (DCT-3)     ,,,
35010310,Nokia,NHM-5(NX)/  3310    ,,,
35010320,Nokia,NHM-5(NX)/  3310    ,,,
35010330,Nokia,NHM-5(NX)/  3310    ,,,
35010340,Nokia,NHM-5(NX)/  3310    ,,,
35010355,Nokia,NHM-5(NX)/  3310    ,,,
35010360,Nokia,NHM-5(NX)/  3310    ,,,
35010370,Nokia,NHM-5(NX)/  3310    ,,,
35010380,Nokia,NHM-5(NX)/  3310    ,,,
35010388,Nokia,NHM-5(NX)/  3310    ,,,
35010391,Nokia,NHM-5(NX)/  3310    ,,,
35010392,Nokia,NHM-5(NX)/  3310    ,,,
35010393,Nokia,NHM-5(NX)/  3310    ,,,
35010394,Nokia,NHM-5(NX)/  3310    ,,,
35010400,Nokia,3310NHM-5NX (DCT-3)     ,,,
35010410,Nokia,NHM-5(NX)/  3310    ,,,
35010420,Nokia,NHM-5(NX)/  3310    ,,,
35010430,Nokia,NHM-5(NX)/  3310    ,,,
35010440,Nokia,NHM-5(NX)/  3310    ,,,
35010455,Nokia,NHM-5(NX)/  3310    ,,,
35010460,Nokia,NHM-5(NX)/  3310    ,,,
35010470,Nokia,NHM-5(NX)/  3310    ,,,
35010480,Nokia,NHM-5(NX)/  3310    ,,,
35010488,Nokia,NHM-5(NX)/  3310    ,,,
35010491,Nokia,NHM-5(NX)/  3310    ,,,
35010492,Nokia,NHM-5(NX)/  3310    ,,,
35010493,Nokia,NHM-5(NX)/  3310    ,,,
35010494,Nokia,NHM-5(NX)/  3310    ,,,
35010500,Nokia,CardPhone  2  RPM-1    ,,,
35010510,Nokia,NHM-5(NX)/  3310    ,,,
35010515,Nokia,NHM-5(NX) /  3310   ,,,
35010520,Nokia,NHM-5(NX)/  3310    ,,,
35010530,Nokia,NHM-5(NX)/  3310    ,,,
35010540,Nokia,NHM-5(NX)/  3310    ,,,
35010560,Nokia,NHM-5(NX)/  3310    ,,,
35010570,Nokia,NHM-5(NX)/  3310    ,,,
35010580,Nokia,NHM-5(NX)/  3310    ,,,
35010588,Nokia,NHM-5(NX)/  3310    ,,,
35010591,Nokia,NHM-5(NX)/  3310    ,,,
35010592,Nokia,NHM-5(NX)/  3310    ,,,
35010593,Nokia,NHM-5(NX)/  3310    ,,,
35010600,Nokia,NHM-5(NX)/  3310    ,,,
35010700,Nokia,6010RTE-2RB    ,,,
35010720,Nokia,RTE-2RD /  6010   ,,,
35010800,Nokia,6010RTE-2RD    ,,,
35010810,Nokia,RTE-2RD/  6010    ,,,
35010820,Nokia,RTE-2RD/  6010    ,,,
35010830,Nokia,RTE-2RD/  6010    ,,,
35010840,Nokia,RTE-2RD/  6010    ,,,
35010860,Nokia,RTE-2RD/  6010    ,,,
35010870,Nokia,RTE-2RD/  6010    ,,,
35010880,Nokia,RTE-2RD/  6010    ,,,
35010888,Nokia,RTE-2RD/  6010    ,,,
35010891,Nokia,RTE-2RD/  6010    ,,,
35010892,Nokia,RTE-2RD/  6010    ,,,
35010893,Nokia,RTE-2RD/  6010    ,,,
35010900,Nokia,6091RTE-4RB (DCT-3)     ,,,
35010910,Nokia,RTE-4RB/  6091    ,,,
35010920,Nokia,RTE-4RB/  6091    ,,,
35010930,Nokia,RTE-4RB/  6091    ,,,
35010940,Nokia,RTE-4RB/  6091    ,,,
35010960,Nokia,RTE-4RB/  6091    ,,,
35010970,Nokia,RTE-4RB/  6091    ,,,
35010980,Nokia,RTE-4RB/  6091    ,,,
35010988,Nokia,RTE-4RB/  6091    ,,,
35010991,Nokia,RTE-4RB/  6091    ,,,
35010992,Nokia,RTE-4RB/  6091    ,,,
35010993,Nokia,RTE-4RB/  6091    ,,,
35011000,Nokia,6091RTE-3RU (DCT-3)     ,,,
35011010,Nokia,RTE-4RB/  6091    ,,,
35011020,Nokia,RTE-4RB/  6091    ,,,
35011030,Nokia,RTE-4RB/  6091    ,,,
35011040,Nokia,RTE-4RB/  6091    ,,,
35011060,Nokia,RTE-4RB/  6091    ,,,
35011070,Nokia,RTE-4RB/  6091    ,,,
35011080,Nokia,RTE-4RB/  6091    ,,,
35011088,Nokia,RTE-4RB/  6091    ,,,
35011091,Nokia,RTE-4RB/  6091    ,,,
35011092,Nokia,RTE-4RB/  6091    ,,,
35011093,Nokia,RTE-4RB/  6091    ,,,
35011100,Nokia,8850NSM-2NX (DCT-3)     ,,,
35011110,Nokia,NSM-2(NX)/  8850    ,,,
35011120,Nokia,NSM-2(NX)/  8850    ,,,
35011130,Nokia,NSM-2(NX)/  8850    ,,,
35011140,Nokia,NSM-2(NX)/  8850    ,,,
35011160,Nokia,NSM-2(NX)/  8850    ,,,
35011170,Nokia,NSM-2(NX)/  8850    ,,,
35011180,Nokia,NSM-2(NX)/  8850    ,,,
35011188,Nokia,NSM-2(NX)/  8850    ,,,
35011191,Nokia,NSM-2(NX)/  8850    ,,,
35011192,Nokia,NSM-2(NX)/  8850    ,,,
35011193,Nokia,NSM-2(NX)/  8850    ,,,
35011200,Nokia,8210NSM-3NX    ,,,
35011210,Nokia,NSM-3(NX)/  8210    ,,,
35011220,Nokia,NSM-3(NX)/  8210    ,,,
35011230,Nokia,NSM-3(NX)/  8210    ,,,
35011240,Nokia,NSM-3(NX)/  8210    ,,,
35011245,Nokia,NSM-3(NX) /  8210   ,,,
35011260,Nokia,NSM-3(NX)/  8210    ,,,
35011270,Nokia,NSM-3(NX)/  8210    ,,,
35011280,Nokia,NSM-3(NX)/  8210    ,,,
35011288,Nokia,NSM-3(NX)/  8210    ,,,
35011291,Nokia,NSM-3(NX)/  8210    ,,,
35011292,Nokia,NSM-3(NX)/  8210    ,,,
35011293,Nokia,NSM-3(NX)/  8210    ,,,
35011300,Nokia,6090NME-3 (DCT-3)     ,,,
35011310,Nokia,NME-3/  6090    ,,,
35011320,Nokia,NME-3/  6090    ,,,
35011330,Nokia,NME-3/  6090    ,,,
35011340,Nokia,NME-3/  6090    ,,,
35011360,Nokia,NME-3/  6090    ,,,
35011370,Nokia,NME-3/  6090    ,,,
35011380,Nokia,NME-3/  6090    ,,,
35011388,Nokia,NME-3/  6090    ,,,
35011391,Nokia,NME-3/  6090    ,,,
35011392,Nokia,NME-3/  6090    ,,,
35011393,Nokia,NME-3/  6090    ,,,
35011400,Nokia,3310NHM-5NX (DCT-3)     ,,,
35011410,Nokia,NHM-5(NX)/  3310    ,,,
35011420,Nokia,NHM-5(NX)/  3310    ,,,
35011430,Nokia,NHM-5(NX)/  3310    ,,,
35011440,Nokia,NHM-5(NX)/  3310    ,,,
35011455,Nokia,NHM-5(NX)/  3310    ,,,
35011460,Nokia,NHM-5(NX)/  3310    ,,,
35011470,Nokia,NHM-5(NX)/  3310    ,,,
35011480,Nokia,NHM-5(NX)/  3310    ,,,
35011488,Nokia,NHM-5(NX)/  3310    ,,,
35011491,Nokia,NHM-5(NX)/  3310    ,,,
35011492,Nokia,NHM-5(NX)/  3310    ,,,
35011493,Nokia,NHM-5(NX)/  3310    ,,,
35011494,Nokia,NHM-5(NX)/  3310    ,,,
35011500,Nokia,8210NSM-3NX    ,,,
35011510,Nokia,NSM-3/  8210    ,,,
35011520,Nokia,NSM-3/  8210    ,,,
35011530,Nokia,NSM-3/  8210    ,,,
35011540,Nokia,NSM-3/  8210    ,,,
35011570,Nokia,NSM-3/  8210    ,,,
35011580,Nokia,NSM-3/  8210    ,,,
35011588,Nokia,NSM-3/  8210    ,,,
35011591,Nokia,NSM-3/  8210    ,,,
35011592,Nokia,NSM-3/  8210    ,,,
35011593,Nokia,NSM-3/  8210    ,,,
35011600,DBTEL,Inc.DB-2009a / b / c    ,,,
35011667,DBTEL,Inc.DB2009 a,b,c     ,,,
35011700,Xircom,WirelessEagle II  900  /  1800   ,,,
35011800,SunCorp,SunCorp,,,
35011900,Magcom,Magcom3B    ,,,
35012000,Spectronic,SpectronicTS2000    ,,,
35012100,Ubinetics,LtdGA  100    ,,,
35012149,Ubinetics,Ltd GDA100     ,,,
35012200,Guo,WeiElectronics, Shenzhen Hutel    ,,,
35012300,Samsung,SGH-N188,,,
35012345,Samsung,Electronics SGH-N188     ,,,
35012389,Samsung,Electronics SGH-N188     ,,,
35012400,LG,ElectronicsLG500    ,,,
35012426,LG,Electronics G500     ,,,
35012500,Samsung,SGH-N300,,,
35012526,Samsung,ElectronicsSGH-N300    ,,,
35012560,Samsung,ElectronicsSGH-N300    ,,,
35012589,Samsung,ElectronicsSGH-N300    ,,,
35012600,Samsung,SGH-A288,,,
35012652,Samsung,Electronics SGH-A288     ,,,
35012689,Samsung,Electronics SGH-A288     ,,,
35012700,Samsung,SGH-A200,,,
35012789,Samsung,ElectronicsSGH-A200    ,,,
35012790,Samsung,ElectronicsSGH-A200    ,,,
35012791,Samsung,Electronics SGH-A200     ,,,
35012800,Samsung,SGH-N300,,,
35012900,Samsung,SGH-N288,,,
35012989,Samsung,Electronics SGH-N288     ,,,
35013000,Samsung,SGH-N400,,,
35013089,Samsung,ElectronicsSGH-N400    ,,,
35013090,Samsung,ElectronicsSGH-N400    ,,,
35013100,China,KejianCorporation Ltd. K3900    ,,,
35013200,Maxon,MX6832,,,
35013300,Maxon,MX6833,,,
35013400,Maxon,MX6836,,,
35013500,Maxon,MX6837,,,
35013600,Galaxy,InformationTech. Soutec eB323    ,,,
35013700,Nokia,3330NHM-6NX (DCT-3)     ,,,
35013710,Nokia,NHM-6(NX)/  3330    ,,,
35013720,Nokia,NHM-6(NX)/  3330    ,,,
35013730,Nokia,NHM-6(NX)/  3330    ,,,
35013740,Nokia,NHM-6(NX)/  3330    ,,,
35013755,Nokia,NHM-6(NX)/  3330    ,,,
35013760,Nokia,NHM-6(NX)/  3330    ,,,
35013770,Nokia,NHM-6(NX)/  3330    ,,,
35013780,Nokia,NHM-6(NX)/  3330    ,,,
35013788,Nokia,NHM-6(NX)/  3330    ,,,
35013791,Nokia,NHM-6(NX)/  3330    ,,,
35013792,Nokia,NHM-6(NX)/  3330    ,,,
35013793,Nokia,NHM-6(NX)/  3330    ,,,
35013794,Nokia,NHM-6(NX)/  3330    ,,,
35013800,Nokia,6210NPE-3NX    ,,,
35013810,Nokia,NPE-3/  6210    ,,,
35013820,Nokia,NPE-3/  6210    ,,,
35013830,Nokia,NPE-3/  6210    ,,,
35013840,Nokia,NPE-3/  6210    ,,,
35013860,Nokia,NPE-3/  6210    ,,,
35013870,Nokia,NPE-3/  6210    ,,,
35013880,Nokia,NPE-3/  6210    ,,,
35013888,Nokia,NPE-3/  6210    ,,,
35013892,Nokia,NPE-3/  6210    ,,,
35013900,Nokia,3310NHM-5NX (DCT-3)     ,,,
35013910,Nokia,NHM-5(NX)/  3310    ,,,
35013920,Nokia,NHM-5(NX)/  3310    ,,,
35013930,Nokia,NHM-5(NX)/  3310    ,,,
35013940,Nokia,NHM-5(NX)/  3310    ,,,
35013955,Nokia,NHM-5(NX)/  3310    ,,,
35013960,Nokia,NHM-5(NX)/  3310    ,,,
35013970,Nokia,NHM-5(NX)/  3310    ,,,
35013980,Nokia,NHM-5(NX)/  3310    ,,,
35013988,Nokia,NHM-5(NX)/  3310    ,,,
35013991,Nokia,NHM-5(NX)/  3310    ,,,
35013992,Nokia,NHM-5(NX)/  3310    ,,,
35013993,Nokia,NHM-5(NX)/  3310    ,,,
35013994,Nokia,NHM-5(NX)/  3310    ,,,
35014000,Nokia,3210NSE-8 (DCT-3)     ,,,
35014010,Nokia,NSE-8/  3210    ,,,
35014020,Nokia,NSE-8/  3210    ,,,
35014030,Nokia,NSE-8/  3210    ,,,
35014040,Nokia,NSE-8/  3210    ,,,
35014060,Nokia,NSE-8/  3210    ,,,
35014070,Nokia,NSE-8/  3210    ,,,
35014080,Nokia,NSE-8/  3210    ,,,
35014088,Nokia,NSE-8/  3210    ,,,
35014091,Nokia,NSE-8/  3210    ,,,
35014092,Nokia,NSE-8/  3210    ,,,
35014093,Nokia,NSE-8/  3210    ,,,
35014100,Nokia,3210NSE-9 (DCT-3)     ,,,
35014110,Nokia,NSE-8/  3210    ,,,
35014120,Nokia,NSE-8/  3210    ,,,
35014130,Nokia,NSE-8/  3210    ,,,
35014140,Nokia,NSE-8/  3210    ,,,
35014160,Nokia,NSE-8/  3210    ,,,
35014170,Nokia,NSE-8/  3210    ,,,
35014180,Nokia,NSE-8/  3210    ,,,
35014188,Nokia,NSE-8/  3210    ,,,
35014191,Nokia,NSE-8/  3210    ,,,
35014192,Nokia,NSE-8/  3210    ,,,
35014193,Nokia,NSE-8/  3210    ,,,
35014200,Nokia,22(PBX Terminal) TME-1    ,,,
35014210,Nokia,TME-1/  22    ,,,
35014215,Nokia,TME-1/  22    ,,,
35014220,Nokia,TME-1/  22    ,,,
35014230,Nokia,TME-1/  22    ,,,
35014240,Nokia,TME-1/  22    ,,,
35014260,Nokia,TME-1/  22    ,,,
35014270,Nokia,TME-1/  22    ,,,
35014280,Nokia,TME-1/  22    ,,,
35014288,Nokia,TME-1/  22    ,,,
35014291,Nokia,TME-1/  22    ,,,
35014292,Nokia,TME-1/  22    ,,,
35014293,Nokia,TME-1/  22    ,,,
35014300,Nokia,8250NSM-3DX    ,,,
35014310,Nokia,NSM-3D/  8250    ,,,
35014320,Nokia,NSM-3D/  8250    ,,,
35014330,Nokia,NSM-3D/  8250    ,,,
35014340,Nokia,NSM-3D/  8250    ,,,
35014360,Nokia,NSM-3D/  8250    ,,,
35014370,Nokia,NSM-3D/  8250    ,,,
35014380,Nokia,NSM-3D/  8250    ,,,
35014388,Nokia,NSM-3D/  8250    ,,,
35014391,Nokia,NSM-3D/  8250    ,,,
35014392,Nokia,NSM-3D/  8250    ,,,
35014393,Nokia,NSM-3D/  8250    ,,,
35014400,Nokia,3310NHM-5NX (DCT-3)     ,,,
35014410,Nokia,NHM-5(NX)/  3310    ,,,
35014420,Nokia,NHM-5(NX)/  3310    ,,,
35014430,Nokia,NHM-5(NX)/  3310    ,,,
35014440,Nokia,NHM-5(NX)/  3310    ,,,
35014455,Nokia,NHM-5(NX)/  3310    ,,,
35014460,Nokia,NHM-5(NX)/  3310    ,,,
35014470,Nokia,NHM-5(NX)/  3310    ,,,
35014480,Nokia,NHM-5(NX)/  3310    ,,,
35014481,Nokia,NHM-5(NX) /  3310   ,,,
35014488,Nokia,NHM-5(NX)/  3310    ,,,
35014491,Nokia,NHM-5(NX)/  3310    ,,,
35014492,Nokia,NHM-5(NX)/  3310    ,,,
35014493,Nokia,NHM-5(NX)/  3310    ,,,
35014494,Nokia,NHM-5(NX)/  3310    ,,,
35014500,Nokia,3310NHM-5NX (DCT-3)     ,,,
35014510,Nokia,NHM-5(NX)/  3310    ,,,
35014520,Nokia,NHM-5(NX)/  3310    ,,,
35014530,Nokia,NHM-5(NX)/  3310    ,,,
35014540,Nokia,NHM-5(NX)/  3310    ,,,
35014555,Nokia,NHM-5(NX)/  3310    ,,,
35014560,Nokia,NHM-5(NX)/  3310    ,,,
35014570,Nokia,NHM-5(NX)/  3310    ,,,
35014580,Nokia,NHM-5(NX)/  3310    ,,,
35014588,Nokia,NHM-5(NX)/  3310    ,,,
35014591,Nokia,NHM-5(NX)/  3310    ,,,
35014592,Nokia,NHM-5(NX)/  3310    ,,,
35014593,Nokia,NHM-5(NX)/  3310    ,,,
35014594,Nokia,NHM-5(NX)/  3310    ,,,
35014600,Nokia,6210NPE-3NX    ,,,
35014610,Nokia,NPE-3(NX)/  6210    ,,,
35014620,Nokia,NPE-3(NX)/  6210    ,,,
35014630,Nokia,NPE-3(NX)/  6210    ,,,
35014640,Nokia,NPE-3(NX)/  6210    ,,,
35014660,Nokia,NPE-3(NX)/  6210    ,,,
35014670,Nokia,NPE-3(NX)/  6210    ,,,
35014680,Nokia,NPE-3(NX)/  6210    ,,,
35014688,Nokia,NPE-3(NX)/  6210    ,,,
35014691,Nokia,NPE-3(NX)/  6210    ,,,
35014692,Nokia,NPE-3(NX)/  6210    ,,,
35014693,Nokia,NPE-3(NX)/  6210    ,,,
35014700,Nokia,6210NPE-3NX    ,,,
35014710,Nokia,NPE-3(NX)/  6210    ,,,
35014720,Nokia,NPE-3(NX)/  6210    ,,,
35014730,Nokia,NPE-3(NX)/  6210    ,,,
35014740,Nokia,NPE-3(NX)/  6210    ,,,
35014760,Nokia,NPE-3(NX)/  6210    ,,,
35014770,Nokia,NPE-3(NX)/  6210    ,,,
35014780,Nokia,NPE-3(NX)/  6210    ,,,
35014788,Nokia,NPE-3(NX)/  6210    ,,,
35014791,Nokia,NPE-3(NX)/  6210    ,,,
35014792,Nokia,NPE-3(NX)/  6210    ,,,
35014793,Nokia,NPE-3(NX)/  6210    ,,,
35014800,Nokia,6210NPE-3NX    ,,,
35014810,Nokia,NPE-3(NX)/  6210    ,,,
35014820,Nokia,NPE-3(NX)/  6210    ,,,
35014830,Nokia,NPE-3(NX)/  6210    ,,,
35014840,Nokia,NPE-3(NX)/  6210    ,,,
35014860,Nokia,NPE-3(NX)/  6210    ,,,
35014870,Nokia,NPE-3(NX)/  6210    ,,,
35014880,Nokia,NPE-3(NX)/  6210    ,,,
35014888,Nokia,NPE-3(NX)/  6210    ,,,
35014891,Nokia,NPE-3(NX)/  6210    ,,,
35014892,Nokia,NPE-3(NX)/  6210    ,,,
35014893,Nokia,NPE-3(NX)/  6210    ,,,
35014900,Nokia,9210RAE-3N (DCT-3L)     ,,,
35014910,Nokia,RAE-3(N)/  9210  Communicator    ,,,
35014920,Nokia,RAE-3(N)/  9210  Communicator    ,,,
35014930,Nokia,RAE-3(N)/  9210  Communicator    ,,,
35014940,Nokia,RAE-3(N)/  9210  Communicator    ,,,
35014960,Nokia,RAE-3(N)/  9210  Communicator    ,,,
35014970,Nokia,RAE-3(N)/  9210  Communicator    ,,,
35014980,Nokia,RAE-3(N)/  9210  Communicator    ,,,
35014988,Nokia,RAE-3(N)/  9210  Communicator    ,,,
35014991,Nokia,RAE-3(N)/  9210  Communicator    ,,,
35014992,Nokia,RAE-3(N)/  9210  Communicator    ,,,
35014993,Nokia,RAE-3(N)/  9210  Communicator    ,,,
35014994,Nokia,RAE-3(N)/  9210  Communicator    ,,,
35015000,Nokia,3330NHM-6NX (DCT-3)     ,,,
35015010,Nokia,NHM-6(NX)/  3330    ,,,
35015020,Nokia,NHM-6(NX)/  3330    ,,,
35015030,Nokia,NHM-6(NX)/  3330    ,,,
35015040,Nokia,NHM-6(NX)/  3330    ,,,
35015055,Nokia,NHM-6(NX)/  3330    ,,,
35015060,Nokia,NHM-6(NX)/  3330    ,,,
35015070,Nokia,NHM-6(NX)/  3330    ,,,
35015080,Nokia,NHM-6(NX)/  3330    ,,,
35015088,Nokia,NHM-6(NX)/  3330    ,,,
35015091,Nokia,NHM-6(NX)/  3330    ,,,
35015092,Nokia,NHM-6(NX)/  3330    ,,,
35015093,Nokia,NHM-6(NX)/  3330    ,,,
35015094,Nokia,NHM-6(NX)/  3330    ,,,
35015100,Nokia,3330NHM-6NX (DCT-3)     ,,,
35015110,Nokia,NHM-6(NX)/  3330    ,,,
35015120,Nokia,NHM-6(NX)/  3330    ,,,
35015130,Nokia,NHM-6(NX)/  3330    ,,,
35015140,Nokia,NHM-6(NX)/  3330    ,,,
35015155,Nokia,NHM-6(NX)/  3330    ,,,
35015160,Nokia,NHM-6(NX)/  3330    ,,,
35015170,Nokia,NHM-6(NX)/  3330    ,,,
35015180,Nokia,NHM-6(NX)/  3330    ,,,
35015188,Nokia,NHM-6(NX)/  3330    ,,,
35015191,Nokia,NHM-6(NX)/  3330    ,,,
35015192,Nokia,NHM-6(NX)/  3330    ,,,
35015193,Nokia,NHM-6(NX)/  3330    ,,,
35015194,Nokia,NHM-6(NX)/  3330    ,,,
35015200,BACCO,LtdA728    ,,,
35015300,BACCO,LtdA728    ,,,
35015400,Ubinetics,LtdGM210    ,,,
35015500,Soutec,TechnologyCo Ltd S320    ,,,
35015600,Sendo,RubiSND200    ,,,
35015601,Sendo,InternationalLtd S200     ,,,
35015700,Telit,MobileTerminals GM862S1     ,,,
35015800,Telit,MobileTerminals GM822     ,,,
35015844,Telital,GM822,,,
35015888,Telital,GM822,,,
35015900,Telit,MobileTerminals GM882     ,,,
35015910,Telit,MobileTermina GM882     ,,,
35016000,Telit,MobileTerminals GM824     ,,,
35016044,Telital,GM824,,,
35016100,Telit,MobileTerminals G80     ,,,
35016144,Telit,MobileTermina G80     ,,,
35016200,Telit,MobileTerminals G82     ,,,
35016300,Telit,MobileTerminals GM862GPRS     ,,,
35016344,Telital,GM862GPRS(Data Module)     ,,,
35016500,Dai,TelecomSpA GM862GSM (Data Module)   ,,,
35016600,Telit,MobileTerminals G83     ,,,
35016700,Maxon,MX6812,,,
35016800,Maxon,MX6816,,,
35016900,Matsushita,PanasonicEB-GD35    ,,,
35016962,Panasonic,MobileCommunications Co Ltd GD35   ,,,
35016987,Panasonic,MobileCommunications Co Ltd GD35   ,,,
35016988,Panasonic,MobileCommunications Co Ltd GD35   ,,,
35016998,Panasonic,MobileCommunications Co Ltd GD35   ,,,
35017000,Siemens,AGS45/S45i S30880-S4500     ,,,
35017001,Siemens,AGS45    ,,,
35017010,Siemens,AGS45    ,,,
35017011,Siemens,AGS45    ,,,
35017021,Siemens,AGS45    ,,,
35017027,Siemens,AGS45    ,,,
35017028,Siemens,AGS45    ,,,
35017031,Siemens,AGS45    ,,,
35017037,Siemens,AGS45    ,,,
35017041,Siemens,AGS45    ,,,
35017051,Siemens,AGS45    ,,,
35017052,Siemens,AGS45    ,,,
35017053,Siemens,AGS45    ,,,
35017060,Siemens,AGS45    ,,,
35017070,Siemens,AGS45    ,,,
35017071,Siemens,AGS45    ,,,
35017100,Siemens,AGS4588  6618  S30880-S4500    ,,,
35017137,Siemens,AG S4588     ,,,
35017191,Siemens,AG S4588     ,,,
35017200,Siemens,AGME45 S30880-S4600     ,,,
35017237,Siemens,AGME45    ,,,
35017241,Siemens,AGME45    ,,,
35017251,Siemens,AGME45    ,,,
35017252,Siemens,AGME45    ,,,
35017253,Siemens,AGME45    ,,,
35017254,Siemens,AGME45    ,,,
35017256,Siemens,AG ME45     ,,,
35017270,Siemens,AGME45    ,,,
35017271,Siemens,AGME45    ,,,
35017300,Siemens,AGME4588  3618  S30880-S4600    ,,,
35017337,Siemens,AGME45    ,,,
35017351,Siemens,AGME45    ,,,
35017370,Siemens,AGME45    ,,,
35017400,Siemens,AGMX45 S30880-S4620     ,,,
35017460,Siemens,AG MX45     ,,,
35017500,Siemens,AGMX4588  8118  S30880-S4620    ,,,
35017600,eMobile,CommBrainze    ,,,
35017700,Sony,CMD-J6,,,
35017740,Sony,CMD-J6,,,
35017800,Sony,CMD-J26,,,
35017830,Sony,CMD-J26    ,,,
35017900,Matsushita,PanasonicGD92    ,,,
35017962,Panasonic,MobileCommunications Co Ltd GD92   ,,,
35017987,Panasonic,MobileCommunications Co Ltd GD92   ,,,
35017998,Panasonic,MobileCommunications Co Ltd GD92   ,,,
35018000,Samsung,SGH-A100,,,
35018100,Telson,ElectronicsCo Ltd TG-118    ,,,
35018200,Symbol,TechnologiesLtd SPT1834     ,,,
35018251,Symbol,TechnologiesLtd SPT1834     ,,,
35018300,Samsung,SGH-N105,,,
35018389,Samsung,Electronics SGH-N105     ,,,
35018400,Compal,ElectronicsXG2    ,,,
35018498,Compal,ElectronicsCompal XG2     ,,,
35018500,Konka,Konka3268     ,,,
35018600,Konka,Konka7218     ,,,
35018700,Samsung,SGH-A300,,,
35018721,Samsung,Electronics SGH-A300     ,,,
35018726,Samsung,ElectronicsSGH-A300    ,,,
35018727,Samsung,ElectronicsSGH-A300    ,,,
35018728,Samsung,ElectronicsSGH-A300    ,,,
35018750,Samsung,ElectronicsSGH-A300    ,,,
35018765,Samsung,Electronics SGH-A300     ,,,
35018789,Samsung,ElectronicsSGH-A300    ,,,
35018790,Samsung,ElectronicsSGH-A300    ,,,
35018791,Samsung,ElectronicsSGH-A300    ,,,
35018792,Samsung,ElectronicsSGH-A300    ,,,
35018793,Samsung,ElectronicsSGH-A300    ,,,
35018794,Samsung,ElectronicsSGH-A300    ,,,
35018800,Symbol,TechnologiesLtd SPT1734     ,,,
35018900,Samsung,KejianK98    ,,,
35018960,Samsung,Electronics K98     ,,,
35019000,Ubinetics,LtdGM400    ,,,
35019064,Ubinetics,Ltd GM400     ,,,
35019100,Innostream,I-100,,,
35019200,Maxon,MX6820,,,
35019300,Innostream,I-200,,,
35019310,Innostream,IncI-200, I-200     ,,,
35019400,Samsung,SGH-N200,,,
35019489,Samsung,Electronics SGH-N200     ,,,
35019500,Samsung,SGH-R200,,,
35019526,Samsung,ElectronicsSGH-R200    ,,,
35019589,Samsung,ElectronicsSGH-R200    ,,,
35019600,Symbol,TechnologiesLtd PDT8134     ,,,
35019700,Symbol,TechnologiesLtd PPT2834     ,,,
